model,letter,query_id,span_count,components,union_s,coverage_pct,wall_s,preprocess_s,generate_s,input_tokens,output_tokens,grid_frames,derived_width,derived_height,derived_visual_tokens,peak_allocated_gib,peak_reserved_gib,strict_json,incomplete_output
timelens2-4b,A,shot,10,10,49.0,22.01696354619893,34.63112162100151,17.268605732824653,17.361324689816684,32254,130,110,1024,576,31680,16.425009727478027,18.095703125,True,False
timelens2-4b,A,dark_shot,8,8,32.0,14.378425173027871,31.287435457110405,16.4156960491091,14.87126648798585,32258,102,110,1024,576,31680,16.42585802078247,18.09765625,True,False
timelens2-4b,A,bench,4,4,17.0,7.638538373171057,27.00460342783481,14.87986005563289,12.12422356614843,32251,55,110,1024,576,31680,16.424376487731934,18.09765625,True,False
timelens2-4b,A,closeup,2,2,6.0,2.695954719942726,26.098160558845848,15.62540031177923,10.472414685413241,32257,25,110,1024,576,31680,16.425647258758545,18.09765625,True,False
timelens2-4b,A,football,0,0,0,0.0,24.56140103796497,15.380523649975657,9.180070479866117,32255,2,110,1024,576,31680,16.42522144317627,18.09765625,True,False
timelens-8b,A,shot,22,22,121.0,54.36842018551164,51.45856292499229,18.0915100350976,33.365602237172425,32254,309,110,1024,576,31680,25.675509452819824,28.244140625,True,False
timelens-8b,A,dark_shot,14,14,56.0,25.162244052798776,41.87529606278986,15.998407392762601,25.876328040845692,32258,204,110,1024,576,31680,25.676992893218994,28.244140625,True,False
timelens-8b,A,bench,4,4,20.0,8.98651573314242,31.827915023081005,15.457551477942616,16.369879646226764,32251,61,110,1024,576,31680,25.674821853637695,28.244140625,True,False
timelens-8b,A,closeup,21,21,87.0,39.09134343916953,49.3530825660564,16.272967311087996,33.07948227180168,32257,309,110,1024,576,31680,25.676756858825684,28.244140625,True,False
timelens-8b,A,football,0,0,0,0.0,28.063186193816364,15.513787825126201,12.549092039931566,32255,2,110,1024,576,31680,25.675739288330078,28.244140625,True,False
timelens2-4b,B,shot,5,5,29.0,13.030447813056508,41.34104618895799,29.38272472890094,11.957275340799242,30411,58,222,704,384,29304,15.935898780822754,17.443359375,True,False
timelens2-4b,B,dark_shot,3,3,15.0,6.739886799856815,37.4850540868938,27.19958751089871,10.285104524809867,30415,36,222,704,384,29304,15.93674373626709,17.443359375,True,False
timelens2-4b,B,bench,2,2,6.0,2.695954719942726,37.261684719938785,27.40884251333773,9.852486456744373,30408,29,222,704,384,29304,15.935264587402344,17.443359375,True,False
timelens2-4b,B,closeup,2,2,9.0,4.0439320799140885,36.82794912811369,27.176775705069304,9.650802734307945,30414,25,222,704,384,29304,15.936532020568848,17.443359375,True,False
timelens2-4b,B,football,0,0,0,0.0,34.63275226065889,26.24521113699302,8.38677399372682,30412,2,222,704,384,29304,15.93610954284668,17.443359375,True,False
timelens-8b,B,shot,27,27,131.0,58.86167805208285,71.68001328920946,32.11430118698627,39.56415907293558,30411,380,222,704,384,29304,25.112221717834473,27.357421875,True,False
timelens-8b,B,dark_shot,27,27,129.0,57.963026478768604,65.24629908520728,29.34019412426278,35.90533181000501,30415,381,222,704,384,29304,25.11313819885254,27.357421875,True,False
timelens-8b,B,bench,3,3,12.0,5.391909439885452,42.28009800706059,28.016103104222566,14.26352051179856,30408,48,222,704,384,29304,25.111534118652344,27.357421875,True,False
timelens-8b,B,closeup,10,10,36.0,16.175728319656354,48.69139221403748,28.165250801015645,20.525590987876058,30414,145,222,704,384,29304,25.112908840179443,27.357421875,True,False
timelens-8b,B,football,0,0,0,0.0,39.734704370144755,28.43090222682804,11.303107420913875,30412,2,222,704,384,29304,25.11245059967041,27.357421875,True,False
timelens2-4b,C,shot,5,5,32.0,14.378425173027871,61.67922020889819,48.10263858968392,13.575389656238258,34130,58,444,512,288,31968,16.835187911987305,18.79296875,True,False
timelens2-4b,C,dark_shot,3,3,19.0,8.537189946485299,50.92305654101074,39.20596842188388,11.71666414802894,34134,36,444,512,288,31968,16.83569860458374,19.412109375,True,False
timelens2-4b,C,bench,5,5,18.0,8.087864159828177,52.80747193703428,39.24658653372899,13.560414653271437,34127,67,444,512,288,31968,16.833852767944336,19.412109375,True,False
timelens2-4b,C,closeup,3,3,9.0,4.0439320799140885,50.457489024382085,38.656437867321074,11.800586585886776,34133,37,444,512,288,31968,16.83486270904541,19.412109375,True,False
timelens2-4b,C,football,0,0,0,0.0,48.42050716700032,38.730177614837885,9.689464005175978,34131,2,444,512,288,31968,16.83452606201172,19.412109375,True,False
timelens-8b,C,shot,30,29,130.0,58.41235226542573,81.67131041781977,39.3117890949361,42.35795026877895,34130,422,444,512,288,31968,26.136300086975098,28.35546875,True,False
