job_id,model,condition,job_status,fps,max_frames,total_tokens,max_new_tokens,prompt,trial,query_id,query,spans,variant,repeat,status,parse_status,span_count,invalid_span_count,wall_s,preprocess_s,generate_s,decode_parse_s,peak_allocated_gib,peak_reserved_gib,input_tokens,output_tokens,hit_output_limit,incomplete_output,error
timelens2-4b__quick,timelens2-4b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,"[[1.0, 2.0], [10.0, 14.0], [15.0, 22.0], [23.0, 28.0], [30.0, 36.0], [60.0, 62.0], [66.0, 68.0], [73.0, 76.0], [98.0, 102.0], [111.0, 114.0], [124.0, 128.0], [154.0, 157.0], [177.0, 181.0], [194.0, 197.0]]",0,0,ok,json,14,0,38.167845407966524,27.058705812785774,11.108254979364574,0.0008600177243351936,12.56301212310791,13.54296875,17091,178,False,False,
timelens2-4b__quick,timelens2-4b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,"[[134.0, 160.0], [208.0, 217.0]]",0,0,ok,json,2,0,31.14073902601376,26.236288961954415,4.90409639198333,0.00033466797322034836,12.562827587127686,13.54296875,17088,29,False,False,
timelens2-4b__quick,timelens2-4b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[39.0, 46.0]]",0,0,ok,json,1,0,30.117698075715452,25.831478754989803,4.285752178635448,0.00044480012729763985,12.56398868560791,13.54296875,17094,13,False,False,
timelens2-4b__quick,timelens2-4b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,29.608523012138903,25.770382529124618,3.83739783288911,0.0007223072461783886,12.563602447509766,13.54296875,17092,2,False,False,
timelens2-8b__quick,timelens2-8b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,"[[0.0, 209.0]]",0,0,ok,json,1,0,33.41469863476232,27.079339024610817,6.334513242356479,0.0008232179097831249,21.243436813354492,22.375,17091,13,False,False,
timelens2-8b__quick,timelens2-8b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,"[[134.0, 137.0], [157.0, 160.0]]",0,0,ok,json,2,0,32.612850565928966,25.968250560108572,6.644136033020914,0.00044360896572470665,21.242745876312256,22.375,17088,29,False,False,
timelens2-8b__quick,timelens2-8b,quick,success,1,256,16384,512,all-json,3,closeup,The camera shows a close-up of a player's face.,"[[203.0, 207.0]]",0,0,ok,json,1,0,31.472999467980117,25.49363195989281,5.978919621091336,0.00042919768020510674,21.24412441253662,22.375,17094,15,False,False,
timelens2-8b__quick,timelens2-8b,quick,success,1,256,16384,512,all-json,4,football,A player kicks a soccer ball into a goal.,[],0,0,ok,json_empty,0,0,30.96678591798991,25.619573139119893,5.346458489075303,0.000735054723918438,21.24366569519043,22.375,17092,2,False,False,
timelens-8b__quick,timelens-8b,quick,success,1,256,16384,512,all-json,1,shot,A player attempts a shot at the basket.,"[[0.0, 2.0], [5.0, 6.0], [8.0, 10.0], [12.0, 14.0], [16.0, 18.0], [23.0, 26.0], [28.0, 30.0], [32.0, 34.0], [35.0, 37.0], [73.0, 76.0], [78.0, 81.0], [84.0, 88.0], [90.0, 94.0], [98.0, 101.0], [103.0, 107.0], [110.0, 114.0], [124.0, 128.0], [130.0, 133.0], [136.0, 140.0], [142.0, 146.0], [152.0, 157.0], [160.0, 165.0], [168.0, 171.0], [173.0, 177.0], [179.0, 182.0], [183.0, 186.0], [188.0, 192.0], [194.0, 198.0], [199.0, 202.0], [204.0, 207.0]]",0,0,ok,json,30,0,57.217155231162906,31.369542302098125,25.84641696419567,0.0011709388345479965,21.243436813354492,22.375,17091,421,False,False,
timelens-8b__quick,timelens-8b,quick,success,1,256,16384,512,all-json,2,bench,Players on the bench celebrate.,"[[134.0, 136.0], [157.0, 160.0], [208.0, 215.0]]",0,0,ok,json,3,0,33.64912612270564,26.08527105068788,7.563081581145525,0.0007511759176850319,21.242745876312256,22.375,17088,48,False,False,
